2019-01-27 10-18-57-0346: KSJAPI::Api Version     = 8.0.0.6 
2019-01-27 10-18-57-0346: KSJAPI::Device Type     = 102 
2019-01-27 10-18-57-0346: KSJAPI::Serial          = 255  
2019-01-27 10-18-57-0346: KSJAPI::FirmwareVersion = 2.1  
2019-01-27 10-18-57-0346: KSJAPI:: __FUNCTION__ = AddCamera 
2019-01-27 10-18-57-0347: KSJAPI::szDllName = libksjcam_102.so  dlopen success
2019-01-27 10-18-57-0348: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57855(0xe1ff), Return = 0
2019-01-27 10-18-57-0348: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 02048(0x0800), Return = 0
2019-01-27 10-18-57-0348: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57855(0xe1ff), Return = 0
2019-01-27 10-18-57-0348: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 02048(0x0800), Return = 0
2019-01-27 10-18-57-0349: KSJAPI::RdFpga Address = 0255(0x00ff), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0349: KSJAPI::RdFpga Address = 0131(0x0083), Value = 65535(0xffff), Return = 0
2019-01-27 10-18-57-0349: KSJAPI::RdFpga Address = 0137(0x0089), Value = 00257(0x0101), Return = 0
2019-01-27 10-18-57-0351: KSJAPI::RdFpga Address = 0147(0x0093), Value = 05693(0x163d), Return = 0
2019-01-27 10-18-57-0351: KSJAPI::RdFpga Address = 0148(0x0094), Value = 63284(0xf734), Return = 0
2019-01-27 10-18-57-0351: KSJAPI::RdFpga Address = 0149(0x0095), Value = 00655(0x028f), Return = 0
2019-01-27 10-18-57-0351: KSJAPI::RdFpga Address = 0150(0x0096), Value = 64267(0xfb0b), Return = 0
2019-01-27 10-18-57-0352: KSJAPI::RdFpga Address = 0151(0x0097), Value = 05079(0x13d7), Return = 0
2019-01-27 10-18-57-0352: KSJAPI::RdFpga Address = 0152(0x0098), Value = 00286(0x011e), Return = 0
2019-01-27 10-18-57-0352: KSJAPI::RdFpga Address = 0153(0x0099), Value = 00245(0x00f5), Return = 0
2019-01-27 10-18-57-0353: KSJAPI::RdFpga Address = 0154(0x009a), Value = 64144(0xfa90), Return = 0
2019-01-27 10-18-57-0353: KSJAPI::RdFpga Address = 0155(0x009b), Value = 05242(0x147a), Return = 0
2019-01-27 10-18-57-0353: KSJAPI::RdFpga Address = 0156(0x009c), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0354: KSJAPI::RdFpga Address = 0157(0x009d), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0354: KSJAPI::RdFpga Address = 0158(0x009e), Value = 00006(0x0006), Return = 0
2019-01-27 10-18-57-0354: KSJAPI::RdFpga Address = 0159(0x009f), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0354: KSJAPI::RdFpga Address = 0161(0x00a1), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0355: KSJAPI::RdFpga Address = 0162(0x00a2), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0355: KSJAPI::RdSensor Address = 0011(0x000b), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0355: KSJAPI::RdSensor Address = 0012(0x000c), Value = 00004(0x0004), Return = 0
2019-01-27 10-18-57-0356: KSJAPI::RdSensor Address = 0013(0x000d), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0356: KSJAPI::RdSensor Address = 0014(0x000e), Value = 00000(0x0000), Return = 0
2019-01-27 10-18-57-0356: KSJAPI::RdSensor Address = 0015(0x000f), Value = 00000(0x0000), Return = 0
